iter	RMSE
124	859204.975
125	857720.5379
126	856346.2728
127	853870.9008
128	852869.1991
129	851316.822
130	849425.3013
131	848698.7268
132	847153.8314
133	845655.4169
134	845555.0706
135	843824.8696
136	843164.9109
137	841675.3501
138	840937.6813
139	840198.9503
140	837249.0919
141	836081.7531
142	835125.1298
143	833874.0607
144	833318.8291
145	832215.0076
146	831668.1477
147	831458.2788
148	830238.6189
149	829808.7942
150	828401.914
151	827641.0512
152	826857.0398
153	825911.1277
154	824865.0345
155	824519.9084
156	823656.5298
157	823017.7735
158	822311.0412
159	821317.1156
160	819391.4615
161	818481.8584
162	817755.5681
163	815796.4583
164	815484.5228
165	814560.0999
166	814154.2855
167	813239.8714
168	812111.8481
169	811997.3023
170	811480.0068
171	810568.9314
172	810106.7477
173	808279.4219
174	807693.8449
175	806462.8453
176	805855.5951
177	803903.5658
178	802717.7366
179	802271.5958
180	800970.5692
181	799225.6358
182	798425.5544
183	796671.2576
184	795846.1595
185	794610.4242
186	793751.4162
187	793016.5815
188	792399.7665
189	791788.5314
190	790435.9498
191	789478.0018
192	788596.0623
193	787716.7748
194	787101.2895
195	786095.2067
196	785294.5699
197	784756.555
198	782924.0423
199	782024.2351
200	781329.8136
201	780772.7891
202	779962.2365
203	779067.9842
204	777988.8012
205	777185.9298
206	776025.6644
207	775378.4708
208	774988.9459
209	774802.8448
210	774114.5155
211	773835.9597
212	773519.0168
213	772967.0708
214	772284.3083
215	771101.7658
216	770709.4251
217	769827.3581
218	769108.6933
219	768306.7156
220	767668.5519
221	767158.6639
222	766681.2079
223	766052.5503
224	765445.5356
225	765258.6617
226	763313.7379
227	762823.7152
228	762754.3097
229	762562.1571
230	762235.2309
231	761725.1033
232	760860.4883
233	759999.3662
234	759057.5669
235	758790.9688
236	758673.2963
237	758474.9151
238	758372.2967
239	758082.1924
240	757301.8216
241	757243.093
242	756574.5718
243	755933.9983
244	755143.4845
245	755032.5157
246	754200.8336
247	753821.7892
248	753754.0032
249	753696.3587
250	753530.3407
251	752554.2862
252	752203.8661
253	751945.0184
254	750857.1846
255	750347.6817
256	750011.5205
257	749310.7488
258	748772.1182
259	747936.1799
260	747079.5311
261	746613.0235
262	746267.7103
263	744239.912
264	742680.3939
265	742104.8676
266	741347.2755
267	740355.3614
268	739911.3111
269	739846.3566
270	739676.4215
271	739635.4983
272	738678.3004
273	738530.58
274	737302.9361
275	735695.7244
276	733513.5361
277	733469.9033
278	733057.0093
279	732799.9643
280	731694.406
281	731124.8763
282	730914.7445
283	728874.8494
284	727299.8675
285	726658.7649
286	724902.1407
287	724795.5903
288	724209.7001
289	723322.5793
290	722451.948
291	722410.6929
292	721361.3091
293	721295.3273
294	721084.745
295	720435.4188
296	719250.9648
297	719195.0069
298	718352.8726
299	717973.2844
300	716821.3515
301	715638.5845
302	715597.0875
303	715553.8231
304	714301.0278
305	713474.572
306	713051.3816
307	713012.1942
308	712975.5419
309	712943.2295
310	710953.4057
311	710064.5283
312	709682.8868
313	709313.4344
314	709278.1218
315	709243.5134
316	708317.4358
317	707470.4682
318	707045.7004
319	705902.4718
320	703897.2227
321	703861.9802
322	703324.36
323	702821.2953
324	701192.1438
325	700405.7412
326	700357.9726
327	700323.8437
328	699724.9753
329	698424.4118
330	697700.6524
331	696995.85
332	695719.9587
333	694423.2509
334	693623.3264
335	692853.3497
336	692092.4184
337	691538.8372
338	691510.5636
339	691482.9354
340	691432.8856
341	691405.4919
342	691379.5925
343	690520.4166
344	690286.428
345	690256.8857
346	689760.7346
347	689070.041
348	688572.1002
349	687916.6674
350	687492.2251
351	686800.0328
352	685870.8283
353	685840.392
354	685660.8138
355	683558.3694
356	683514.9043
357	683270.182
358	682066.7213
359	682044.3206
360	680484.5749
361	679902.6913
362	678910.2013
363	678843.8857
364	678822.3466
365	678438.8712
366	678379.2581
367	677446.5906
368	676570.7809
369	675908.3755
370	674954.541
371	674399.9174
372	673761.447
373	673297.0552
374	672745.5699
375	671893.989
376	670510.4759
377	669503.7654
378	669000.1575
379	668725.6237
380	667908.5363
381	667236.3522
382	667194.6882
383	666819.3062
384	666037.6641
385	665299.7289
386	663772.8676
387	662738.3658
388	661398.3591
389	660030.1146
390	659467.8152
391	659444.4534
392	658831.5246
393	658305.9435
394	657172.7141
395	656578.4272
396	656418.1219
397	655156.2442
398	654936.6357
399	654063.9921
400	652478.191
401	651485.7856
402	650752.8093
403	650074.3852
404	650050.2978
405	648869.7923
406	647743.0643
407	647076.2161
408	646559.9224
409	646399.322
410	645838.6154
411	645814.869
412	645331.0756
413	645307.9003
414	644816.395
415	644415.2911
416	643705.4347
417	643501.8237
418	643479.8429
419	642125.5499
420	640584.6244
421	640567.223
422	640545.7933
423	639282.5505
424	638896.7524
425	638688.7287
426	638245.6985
427	637717.0104
428	637214.0183
429	636754.9101
430	635824.8603
431	634676.7908
432	634180.2283
433	633764.0374
