iter	Passed	Remaining
439	1244	1583
440	1245	1578
441	1246	1574
442	1248	1569
443	1249	1565
444	1252	1562
445	1256	1560
446	1257	1555
447	1259	1552
448	1261	1547
449	1263	1544
450	1266	1541
451	1269	1538
452	1270	1534
453	1272	1529
454	1273	1525
455	1274	1520
456	1276	1516
457	1277	1511
458	1282	1511
459	1283	1506
460	1285	1502
461	1286	1498
462	1288	1493
463	1289	1489
464	1290	1485
465	1292	1481
466	1294	1477
467	1296	1474
468	1298	1470
469	1302	1468
470	1303	1464
471	1304	1459
472	1306	1455
473	1308	1451
474	1310	1447
475	1312	1445
476	1315	1442
477	1316	1438
478	1318	1433
479	1319	1429
480	1343	1449
481	1349	1450
482	1350	1446
483	1352	1441
484	1353	1437
485	1355	1433
486	1356	1429
487	1363	1430
488	1365	1427
489	1367	1423
490	1369	1419
491	1371	1415
492	1372	1411
493	1374	1407
494	1375	1403
495	1376	1398
496	1377	1394
497	1379	1390
498	1380	1386
499	1382	1382
500	1384	1378
501	1385	1374
502	1387	1370
503	1389	1367
504	1390	1362
505	1391	1358
506	1392	1354
507	1394	1350
508	1397	1347
509	1398	1343
510	1400	1339
511	1401	1336
512	1403	1332
513	1404	1328
514	1406	1324
515	1407	1320
516	1409	1316
517	1411	1313
518	1412	1309
519	1414	1305
520	1416	1302
521	1419	1300
522	1421	1296
523	1423	1292
524	1424	1288
525	1425	1284
526	1427	1280
527	1429	1277
528	1431	1274
529	1433	1271
530	1435	1267
531	1436	1263
532	1437	1259
533	1438	1255
534	1441	1252
535	1443	1249
536	1444	1245
537	1445	1241
538	1447	1238
539	1449	1235
540	1450	1230
541	1452	1227
542	1453	1223
543	1455	1219
544	1457	1216
545	1458	1213
546	1460	1209
547	1462	1206
548	1464	1202
549	1465	1199
550	1467	1195
551	1468	1192
552	1470	1188
553	1472	1185
554	1473	1181
555	1475	1178
556	1477	1174
557	1478	1171
558	1480	1168
559	1481	1164
560	1486	1162
561	1488	1160
562	1490	1157
563	1492	1153
564	1495	1151
565	1496	1147
566	1498	1144
567	1499	1140
568	1501	1137
569	1503	1134
570	1505	1131
571	1507	1127
572	1509	1125
573	1511	1121
574	1512	1118
575	1513	1114
576	1515	1110
577	1517	1107
578	1518	1104
579	1520	1101
580	1522	1097
581	1524	1094
582	1525	1091
583	1527	1087
584	1529	1085
585	1531	1081
586	1532	1078
587	1534	1075
588	1536	1071
589	1538	1069
590	1540	1065
591	1541	1062
592	1542	1058
593	1544	1055
594	1545	1052
595	1548	1049
596	1549	1046
597	1551	1043
598	1555	1041
599	1556	1037
600	1557	1034
601	1558	1030
602	1560	1027
603	1562	1024
604	1564	1021
605	1565	1018
606	1567	1014
607	1570	1012
608	1571	1009
609	1573	1005
610	1574	1002
611	1575	999
612	1577	996
613	1579	992
614	1580	989
615	1582	986
616	1585	984
617	1586	980
618	1587	977
619	1589	974
620	1590	970
621	1592	967
622	1594	964
623	1596	961
624	1599	959
625	1601	956
626	1602	953
627	1604	950
628	1606	947
629	1607	944
630	1609	941
631	1615	940
632	1618	938
633	1620	935
634	1623	932
635	1625	930
636	1628	928
637	1631	925
638	1633	922
639	1634	919
640	1636	916
641	1637	913
642	1639	910
643	1640	906
644	1641	903
645	1643	900
646	1644	897
647	1646	894
648	1647	891
649	1652	889
650	1653	886
651	1655	883
652	1657	880
653	1658	877
654	1670	879
655	1671	876
656	1673	873
657	1675	870
658	1677	867
659	1678	864
660	1679	861
661	1680	858
662	1683	855
663	1685	852
664	1686	849
665	1688	846
666	1690	844
667	1692	841
668	1693	837
669	1694	834
670	1696	831
671	1698	828
672	1699	825
673	1701	822
674	1702	819
675	1704	816
676	1706	814
677	1707	810
678	1708	807
679	1710	805
680	1713	802
681	1714	799
682	1715	796
683	1717	793
684	1719	790
685	1721	787
686	1722	784
687	1723	781
688	1726	779
689	1727	776
690	1729	773
691	1730	770
692	1741	771
693	1742	768
694	1744	765
695	1745	762
696	1747	759
697	1748	756
698	1751	754
699	1752	750
700	1753	747
701	1754	744
702	1756	741
703	1757	739
704	1760	736
705	1761	733
706	1763	731
707	1765	728
708	1767	725
709	1768	722
710	1770	719
711	1773	717
712	1774	714
713	1776	711
714	1778	708
715	1780	706
716	1789	706
717	1791	703
718	1793	700
719	1794	698
720	1796	695
721	1798	692
722	1799	689
723	1801	686
724	1818	689
725	1819	686
726	1820	683
727	1822	680
728	1824	678
729	1825	675
730	1826	672
731	1828	669
732	1830	666
733	1831	663
734	1834	661
735	1836	658
736	1837	655
737	1838	652
738	1840	650
739	1842	647
740	1844	644
741	1846	641
742	1848	639
743	1850	636
744	1851	633
745	1853	631
746	1855	628
747	1857	625
748	1858	622
749	1861	620
750	1863	617
751	1864	614
752	1866	612
753	1867	609
754	1869	606
755	1871	604
756	1873	601
757	1876	598
758	1878	596
759	1880	593
760	1881	590
761	1884	588
762	1886	586
763	1888	583
764	1889	580
765	1891	577
766	1893	575
767	1894	572
768	1896	569
769	1898	567
770	1902	564
771	1909	563
772	1911	561
773	1917	559
774	1921	557
775	1925	555
776	1929	553
777	1930	550
778	1932	548
779	1936	546
780	1938	543
781	1941	541
782	1943	538
783	1945	535
784	1948	533
785	1954	532
786	1957	529
787	1959	527
788	1961	524
789	1963	521
790	1965	519
791	1966	516
792	1968	513
793	1970	511
794	1972	508
795	1973	505
796	1975	503
797	1976	500
798	1978	497
799	1980	495
800	1982	492
801	1985	490
802	1987	487
803	1988	484
804	1990	482
805	1991	479
806	1993	476
807	1994	473
808	1997	471
809	1998	468
810	2000	466
811	2002	463
812	2003	460
813	2005	458
814	2006	455
815	2008	452
816	2011	450
817	2015	448
818	2017	445
819	2018	443
820	2020	440
821	2022	438
822	2024	435
823	2027	432
824	2029	430
825	2030	427
826	2032	425
827	2033	422
828	2035	419
829	2037	417
830	2040	415
831	2043	412
832	2046	410
833	2049	407
834	2050	405
835	2054	403
836	2056	400
837	2058	397
838	2060	395
839	2061	392
840	2063	390
841	2065	387
842	2067	385
843	2069	382
844	2071	379
845	2073	377
846	2075	374
847	2076	372
848	2078	369
849	2080	367
850	2082	364
851	2084	362
852	2086	359
853	2088	357
854	2090	354
855	2092	351
856	2094	349
857	2097	347
858	2098	344
859	2101	342
860	2111	340
861	2112	338
862	2114	335
863	2115	333
864	2118	330
865	2119	327
866	2120	325
867	2122	322
868	2123	320
869	2126	317
870	2128	315
871	2129	312
872	2132	310
873	2133	307
874	2135	305
875	2136	302
876	2138	299
877	2140	297
878	2152	296
879	2153	293
880	2155	291
881	2157	288
882	2158	286
883	2160	283
884	2163	281
885	2166	278
886	2168	276
887	2169	273
888	2171	271
889	2172	268
890	2174	266
891	2176	263
892	2178	261
893	2179	258
894	2180	255
895	2182	253
896	2210	253
897	2211	251
898	2213	248
899	2215	246
900	2217	243
901	2219	241
902	2220	238
903	2223	236
904	2224	233
905	2225	230
906	2227	228
907	2228	225
908	2230	223
909	2232	220
910	2238	218
911	2240	216
912	2241	213
913	2242	211
914	2243	208
915	2245	205
916	2250	203
917	2256	201
918	2258	199
919	2263	196
920	2266	194
921	2271	192
922	2273	189
923	2274	187
924	2276	184
925	2281	182
926	2283	179
927	2284	177
928	2286	174
929	2288	172
930	2289	169
931	2291	167
932	2292	164
933	2293	162
934	2295	159
935	2296	157
936	2299	154
937	2300	152
938	2302	149
